iter	Passed	Remaining
410	4504	3364
411	4515	3353
412	4527	3343
413	4539	3333
414	4551	3323
415	4562	3311
416	4572	3300
417	4581	3288
418	4593	3278
419	4605	3267
420	4618	3258
421	4629	3247
422	4641	3236
423	4646	3221
424	4657	3211
425	4668	3200
426	4681	3190
427	4690	3178
428	4701	3167
429	4709	3154
430	4716	3140
431	4727	3129
432	4739	3119
433	4750	3108
434	4762	3098
435	4774	3088
436	4787	3078
437	4798	3067
438	4810	3057
439	4816	3042
440	4827	3032
441	4839	3022
442	4851	3011
443	4862	3000
444	4872	2989
445	4880	2976
446	4886	2962
447	4898	2952
448	4910	2941
449	4922	2931
450	4934	2921
451	4946	2910
452	4956	2899
453	4969	2889
454	4977	2876
455	4989	2866
456	5000	2855
457	5013	2846
458	5026	2836
459	5035	2824
460	5047	2813
461	5059	2803
462	5070	2792
463	5082	2782
464	5094	2772
465	5107	2761
466	5119	2751
467	5129	2739
468	5140	2728
469	5151	2718
470	5159	2705
471	5170	2695
472	5182	2684
473	5192	2673
474	5199	2660
475	5206	2647
476	5218	2636
477	5230	2625
478	5241	2615
479	5252	2604
480	5263	2593
481	5275	2583
482	5288	2573
483	5299	2562
484	5310	2551
485	5321	2540
486	5333	2529
487	5345	2519
488	5351	2506
489	5362	2495
490	5373	2484
491	5384	2473
492	5397	2463
493	5409	2453
494	5421	2442
495	5433	2431
496	5444	2420
497	5456	2410
498	5468	2399
499	5477	2388
500	5489	2377
501	5498	2365
502	5509	2355
503	5522	2344
504	5533	2334
505	5546	2323
506	5558	2313
507	5570	2302
508	5583	2292
509	5593	2281
510	5605	2270
511	5617	2260
512	5627	2248
513	5639	2238
514	5653	2228
515	5663	2217
516	5676	2206
517	5687	2195
518	5697	2184
519	5709	2173
520	5718	2162
521	5729	2151
522	5741	2140
523	5750	2129
524	5762	2118
525	5775	2108
526	5785	2096
527	5793	2084
528	5805	2074
529	5817	2063
530	5823	2050
531	5830	2038
532	5835	2025
533	5847	2014
534	5856	2003
535	5868	1992
536	5880	1982
537	5894	1972
538	5903	1960
539	5911	1948
540	5922	1937
541	5927	1924
