iter	Logloss
167	0.122273884
168	0.1221833868
169	0.1220693444
170	0.1220128313
171	0.1219498495
172	0.1218693169
173	0.1218051469
174	0.1217361209
175	0.1216651448
176	0.1216420676
177	0.1215680514
178	0.1215107207
179	0.121467291
180	0.1214140127
181	0.12140377
182	0.1212956958
183	0.1212552166
184	0.1212046549
185	0.1211646545
186	0.121124909
187	0.1210058301
188	0.1209644161
189	0.1209186359
190	0.1208671836
191	0.1208235138
192	0.1207461369
193	0.1207006956
194	0.1206690938
195	0.1206428041
196	0.1206131481
197	0.1205521469
198	0.120516211
199	0.1204812735
200	0.120434695
201	0.1203890879
202	0.1203858717
203	0.1203362832
204	0.1203349927
205	0.1203195148
206	0.1202695425
207	0.1202677218
208	0.1202259518
209	0.1201910267
210	0.1201752391
211	0.1201456435
212	0.1201011808
213	0.1200839719
214	0.1200498921
215	0.1200172317
216	0.1200143473
217	0.1199821914
218	0.1199365055
219	0.1199175068
220	0.119890178
221	0.1198598771
222	0.1198242167
223	0.119795353
224	0.1197445013
225	0.1197325295
226	0.1197311719
227	0.1196942819
228	0.119659517
229	0.1196398116
230	0.1196239533
231	0.1196168817
232	0.1195628382
233	0.1195203145
234	0.1194886071
235	0.1194880425
236	0.1194862771
237	0.1194737929
238	0.1194730026
239	0.1194388734
240	0.1194162574
241	0.1194131326
242	0.1194122811
243	0.1193821839
244	0.11938013
245	0.1193371595
246	0.1193347095
247	0.1193266349
248	0.1192986889
249	0.1192783976
250	0.1192776504
251	0.1192757254
252	0.1192749345
253	0.1192275955
254	0.1192034633
255	0.1191866497
256	0.1191706476
257	0.119106683
258	0.1190661253
259	0.1190204188
260	0.1190066416
261	0.1190058847
262	0.1189741113
263	0.1189360005
264	0.1188980211
265	0.1188844976
266	0.1188814138
267	0.1188785958
268	0.1188763979
269	0.1188755635
270	0.1188303818
271	0.118829941
272	0.1188212132
273	0.118820476
274	0.1187682298
275	0.1187659266
276	0.118755544
277	0.1187344834
278	0.1187107199
279	0.1186888415
280	0.1186528465
281	0.118652135
282	0.1186502218
283	0.1186268752
284	0.1186261951
285	0.1186162716
286	0.1185977171
287	0.1185865584
288	0.1185858509
289	0.1185364034
290	0.1185064248
291	0.1184546238
292	0.118437238
293	0.1184351065
294	0.1184332639
295	0.1184070752
296	0.1184045625
297	0.1183652076
298	0.118337086
299	0.1183363642
300	0.1183356073
301	0.1183061179
302	0.118305406
303	0.1183026132
304	0.1182760507
305	0.1182749977
306	0.1182524414
307	0.118250199
308	0.1182329657
309	0.1182038741
310	0.118203162
311	0.1181957715
312	0.1181564692
313	0.1181302034
314	0.1180954218
315	0.1180953914
316	0.1180927317
317	0.1180874163
318	0.1180735913
319	0.1180728715
320	0.1180721152
321	0.1180720837
322	0.1180684833
323	0.1180617364
324	0.1180018464
325	0.1180018151
326	0.1179530324
327	0.1179072574
328	0.1178752636
329	0.1178745353
330	0.117865801
331	0.1178452054
332	0.1178444854
333	0.1178439836
334	0.1178384228
335	0.1178103708
336	0.1178021045
337	0.1177610618
338	0.1177394697
339	0.1177212458
340	0.1177205237
341	0.1177116708
342	0.1176667795
343	0.1176660493
344	0.1176564349
345	0.1176171432
346	0.1176055451
347	0.1175973339
348	0.1175722274
349	0.1175509587
350	0.1175124055
351	0.1174885709
352	0.1174789134
353	0.1174479308
354	0.1174305023
355	0.1174248142
356	0.1174240862
357	0.1173798578
358	0.1173790883
359	0.1173651493
360	0.1173644249
361	0.117337557
362	0.1173144097
363	0.1173018106
364	0.1173010823
365	0.117300362
366	0.1172794954
367	0.1172642666
368	0.1172544788
369	0.1172407805
370	0.1172299891
371	0.1171933156
372	0.1171757678
373	0.1171750134
374	0.1171434008
375	0.1171430534
376	0.1171267266
377	0.1171046146
378	0.1170889055
379	0.1170819785
380	0.1170608416
381	0.1170487554
382	0.1170090818
383	0.1169918144
384	0.1169755206
385	0.1169744388
386	0.1169445312
387	0.1169426203
388	0.1169167718
389	0.1169160828
390	0.1169121158
391	0.1169048462
392	0.1168850543
393	0.1168718708
394	0.1168355271
395	0.1168074622
396	0.1167843158
397	0.1167608306
398	0.1167461545
399	0.1167425946
400	0.1167260541
401	0.1167252716
402	0.1166975773
403	0.1166841693
404	0.1166833599
405	0.1166816204
406	0.1166422368
407	0.1166404896
408	0.1166098079
409	0.1166097407
410	0.1165964
411	0.116568343
412	0.1165592222
413	0.1165475855
414	0.1165392138
415	0.1165384114
416	0.116531211
417	0.116531123
418	0.1165061162
419	0.1164728156
420	0.1164720691
421	0.1164588224
422	0.1164561281
423	0.1164554189
424	0.1164272725
425	0.1164262933
426	0.116416025
427	0.1164152593
428	0.1163933908
429	0.116392667
430	0.1163919207
431	0.1163805433
432	0.1163561606
433	0.1163459964
434	0.1163158803
435	0.1163021039
436	0.1162845637
437	0.1162774023
438	0.1162507228
439	0.1162479784
440	0.1162457505
441	0.1161989033
442	0.1161765869
443	0.1161584722
444	0.1161517343
445	0.1161500022
446	0.1161493053
447	0.1161404806
448	0.1161236587
449	0.1161012464
450	0.1160629985
451	0.1160267108
452	0.1160253119
453	0.1160198385
454	0.116019094
455	0.1159917098
456	0.1159632759
457	0.1159454622
458	0.1159276893
459	0.1159259657
460	0.1159023432
